item_desc,suppl_name,corp_item_prod_cat_name,corp_item_prod_class_name,brand_name,class_desc,category_desc,corp_item_pgrp_name,corp_item_flavor,corp_item_appel_name,corp_item_region_name,corp_item_cnty_name,corp_item_proof,varietal,color,corp_item_size,corp_item_uom,item_no,group_desc,corp_item_prod_super_group_name,customer_no,stdlinxscd,customer_name,address_1,address_2,city,state,site,premise_code,upc_cd,brand_no,suppl_no,decimal_case_qty,net_revenue_amt
CHAPEL DOWN THREE GRACES BRUT 16,ABCK CORP/MHW LTD,WINE,SPARKLING WINE,CHAPEL DOWN,SPARKLING WINE IMPORTED,Wine & Wine Coolers,CHAPEL DOWN,,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,0.00,BLEND-SPARKLING WINE,WHITE,750ML,ML ,563331,OTHER IMPORTED SPARKLING,CHAPEL DOWN,82294,5248676    ,RITZ-CARLTON BACARA,8301 HOLLISTER AV,,GOLETA,CA,20,ON ,0081818602008,5698,106989,2.000,486.00
ANGELS ENVY BBN 86.6,BACARDI USA INC,SPIRITS,BOURBON,ANGELS ENVY BOURBON,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,86.60,BLEND-GRAINS,TAWNY/BROWN,750ML,ML ,404725,BOURBON,HOUSE OF BACARDI PRESTIGE BRANDS,82294,5248676    ,RITZ-CARLTON BACARA,8301 HOLLISTER AV,,GOLETA,CA,20,ON ,0085004700300,4891,101079,27.834,5941.00
ANGELS ENVY RYE WSKY 100,BACARDI USA INC,SPIRITS,STRAIGHT RYE WHISKY,ANGELS ENVY RYE,WHISKEY DOMESTIC,Liquor Products,ANGELS ENVY,,DNA--KENTUCKY,KENTUCKY,UNITED STATES,100.00,RYE,TAWNY/BROWN,750ML,ML ,410753,RYE WHISKEY,HOUSE OF BACARDI PRESTIGE BRANDS,82294,5248676    ,RITZ-CARLTON BACARA,8301 HOLLISTER AV,,GOLETA,CA,20,ON ,0085004700306,5205,101079,0.333,134.40
BACARDI RUM GOLD RSV OCHO 8YR 80,BACARDI USA INC,SPIRITS,RUM,BACARDI 8,RUM DOMESTIC,Liquor Products,BACARDI 8,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,1.0L,LT ,893641,DARK RUM DOMESTIC,HOUSE OF BACARDI,82294,5248676    ,RITZ-CARLTON BACARA,8301 HOLLISTER AV,,GOLETA,CA,20,ON ,0008048050530,4791,101079,2.166,362.54
BACARDI RUM GRAN RSV DIEZ 80,BACARDI USA INC,SPIRITS,RUM,BACARDI ANEJO,RUM IMPORTED,Liquor Products,BACARDI DIEZ,,DNA--PUERTO RICO,DNA--PUERTO RICO,PUERTO RICO,80.00,,TAWNY/BROWN,750ML,ML ,899308,ANEJO RUM,HOUSE OF BACARDI,82294,5248676    ,RITZ-CARLTON BACARA,8301 HOLLISTER AV,,GOLETA,CA,20,ON ,0008048098340,4792,101079,1.000,162.00
BOMBAY SAPPHIRE GIN 94,BACARDI USA INC,SPIRITS,GIN,BOMBAY SAPPHIRE,GIN IMPORTED,Liquor Products,BOMBAY SAPPHIRE,BLEND-BOTANICALS,DNA--ENGLAND,ENGLAND,UNITED KINGDOM,94.00,BLEND-GRAINS,WHITE,750ML,ML ,11292,NONE,HOUSE OF BOMBAY,82294,5248676    ,RITZ-CARLTON BACARA,8301 HOLLISTER AV,,GOLETA,CA,20,ON ,0008048030102,3988,101079,1.000,246.36
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,1.0L,LT ,17098,VODKA IMPORTED,HOUSE OF GREY GOOSE,82294,5248676    ,RITZ-CARLTON BACARA,8301 HOLLISTER AV,,GOLETA,CA,20,ON ,0008048028001,1265,101079,248.000,39960.96
GREY GOOSE VODKA 80,BACARDI USA INC,SPIRITS,VODKA,GREY GOOSE ORIGINAL,VODKA IMPORTED,Liquor Products,HOUSE OF GREY GOOSE,,DNA--FRANCE,DNA--FRANCE,FRANCE,80.00,WHEAT,WHITE,375ML,ML ,38168,VODKA IMPORTED,HOUSE OF GREY GOOSE,82294,5248676    ,RITZ-CARLTON BACARA,8301 HOLLISTER AV,,GOLETA,CA,20,ON ,0008048028003,1265,101079,2.000,286.64
LEBLON CACHACA 80,BACARDI USA INC,SPIRITS,RUM,LEBLON CACHACA,RUM IMPORTED,Liquor Products,CACHACA RUM,,DNA--BRAZIL,DNA--BRAZIL,BRAZIL,80.00,,WHITE,1.0L,LT ,484344,CACHACA,HOUSE OF NICHE BRANDS,82294,5248676    ,RITZ-CARLTON BACARA,8301 HOLLISTER AV,,GOLETA,CA,20,ON ,0008048000726,3478,101079,1.833,338.74
PATRON TEQ ANEJO 80,BACARDI USA INC,SPIRITS,TEQUILA,PATRON ANEJO,TEQUILA,Liquor Products,PATRON TEQUILA (EXCLUDING ROCA),,TEQUILA,JALISCO,MEXICO,80.00,100% BLUE AGAVE,TAWNY/BROWN,750ML,ML ,327,ANEJO TEQUILA,PATRON SPIRITS COMPANY,82294,5248676    ,RITZ-CARLTON BACARA,8301 HOLLISTER AV,,GOLETA,CA,20,ON ,0072173300001,4157,101079,1.000,547.20
